Nation Name,Province(s),Capital City,Climate Type,Geographic Features,Primary Resources,Economic Focus,Notes,Economic Strength (0-10),Military Focus,Military Strength (0-10),Political System,Cultural Values,Special Traits or Reputation,Notable Exports,Notable Imports,Major Threats or Conflicts
Brokmyr,6,Torreles,"subtropical, savannah",large coastline,"spices, alcohol, iron",Industrial,,,,,,,,,,
Kavalon,,,savannah,small coastline,"tobacco, incense, iron",Agrarian,,,,,,,,,,
Saroldon,,,"subtropical, savannah",small coastline,"coffee, incense",Open,,,,,,,,,,
Dead Desert,,,desert,,,,,,,,,,,,,
Khidria,,,"grassland, wetlands","mountains, large coastline","diamonds, sugar, fruit, timber, iron",Agrarian,,,,,,,,,,
Ocaldan,,,"subtropical, savannah",small coastline,"timber, incense, silk",Industrial,,,,,,,,,,
Varas Ocaldan,,,"temperate deciduous, savannah",mountains,"gold, timber, ivory",Isolationist,Marble,,,,,,,,,
Ereava,,,"tropical, wetlands",small coastline,"amethyst, ivory, copper",Agrarian,XT ivory,,,,,,,,,
Rhiemont,,,"subtropical, temperate rainforest","mountains, large coastline","amethyst, copper",Nomadic,,,,,,,,,,
Tameskia,,,"grassland, taiga","mountains, large coastline","sapphires, sugar, timber, silver, furs, iron, spices",Industrial,XT timber,,,,,,,,,
Yerire,,,"taiga, temperate rainforest","mountains, large coastline","diamonds, copper, timber, incense, coffee, textiles",Nomadic,XT copper,,,,,,,,,
Myolis,,,"wetlands, temperate rainforest",small coastline,"silver, furs",Agrarian,,,,,,,,,,
Odolisia,,,"temperate rainforest, grassland",large coastline,"silver, furs, iron, fruit, tobacco",Agrarian,XT Iron,,,,,,,,,
Detaia,,,desert,mountains,"iron, timber",Isolationist,Marble,,,,,,,,,
Aberia,,,grassland,mountains,"iron, timber, furs, silk, fruit",Isolationist,,,,,,,,,,
Anolania,,,"tropical, subtropical",large coastline,"gold, silver, iron, copper, fruit, spices, furs, timber, sugar, salt",Open,"XT iron, XT gold",,,,,,,,,
Lontelia,,,"wetlands, temperate rainforest","mountains, large coastline","silver, iron, sugar, tea, silk, salt",Agrarian,XT tea,,,,,,,,,
Serdia,,,"grassland, temperate deciduous",mountains,"iron, copper, fruit",Agrarian,XT fruit,,,,,,,,,
Nulukzi,,,grassland,small coastline,"copper, timber, silk",Industrial,,,,,,,,,,
Dionia,,,"temperate rainforest, grassland",large coastline,"gold, copper, iron, tea, fruit, spinel, salt",Industrial,"XT copper, XT Iron",,,,,,,,,
Hakya,,,"subtropical, savannah","mountains, large coastline","iron, copper, ivory, furs, incense",Industrial,XT Ivory,,,,,,,,,
Bozteli,,,"desert, temperate deciduous","mountains, large coastline","gold, iron, timber, fruit, silk, textiles, salt",Agrarian,,,,,,,,,,
Bakku,,,"desert, subtropical","mountains, large coastline","topaz, spinel, iron, copper, tea, textiles, sugar, spices, silver",Industrial,XT Tea,,,,,,,,,
Sobateli/Bobaseli,,,"subtropical, temperate deciduous","mountains, small coastline","alcohol, spices, crop",Agrarian,,,,,,,,,,
Zacatlan,,,"subtropical, temperate deciduous","Islands, large coastline","jade, gold, iron, copper, timber, fruit, sugar, silk, spices",Nomadic,"XT copper, XT Iron",,,,,,,,,
Doroy,,,"tropical, wetlands",large coastline,"copper, coffee, ivory",Agrarian,XT copper,,,,,,,,,
Nagongat,,,"tropical, subtropical",large coastline,"gold, silver, iron, copper, silk",Industrial,,,,,,,,,,
Lainon,,,"tropical, wetlands","mountains, large coastline","alcohol, iron, fruit",Agrarian,,,,,,,,,,
Kirninmi,,,"subtropical, temperate deciduous","mountains, large coastline","emeralds, garnets, iron, game, sugar",Industrial,,,,,,,,,,
Casoborduria,,,tropical,"Islands, small coastline",,Nomadic,Sandstone,,,,,,,,,
Aerulora,,,"tropical, subtropical","Islands, small coastline","salt, crop",Nomadic,,,,,,,,,,
Tanoas,,,subtropical,"Islands, small coastline","iron, tea",Nomadic,,,,,,,,,,
Calvia,,,subtropical,"Islands, small coastline","timber, salt, coffee",Nomadic,,,,,,,,,,